,ibns_20u,ibns_20u_9n,vgs_m1,ibn_settl_err,name,type,time,OK
0,21.18862,21.18856,0.7109064,0.06000000000080919,tran_SchGtVtAfsTl,Sch,Tue Dec 20 23:02:58 2022,True
1,22.35619,22.35619,0.6284558,0.0,tran_SchGtVtAsfTl,Sch,Tue Dec 20 23:02:58 2022,True
2,22.32754,22.32754,0.6393012,0.0,tran_SchGtVtAffTl,Sch,Tue Dec 20 23:02:58 2022,True
3,21.31915,21.319119999999998,0.6990665,0.03000000000209866,tran_SchGtVtAssTl,Sch,Tue Dec 20 23:02:58 2022,True
4,21.26456,21.26406,0.6003221,0.5000000000010963,tran_SchGtVtAfsTh,Sch,Tue Dec 20 23:02:58 2022,True
5,22.34236,22.34233,0.5111692,0.02999999999871053,tran_SchGtVtAsfTh,Sch,Tue Dec 20 23:02:58 2022,True
6,22.3229,22.32285,0.5221551,0.05000000000010964,tran_SchGtVtAffTh,Sch,Tue Dec 20 23:02:58 2022,True
7,21.38503,21.38468,0.5882888,0.3500000000007675,tran_SchGtVtAssTh,Sch,Tue Dec 20 23:02:58 2022,True
